league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_x,pinnacle_ft_1,pinnacle_ft_2,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_ft_over15,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_1st_half_over15,pinnacle_corners_over_85,pinnacle_corners_under_85
Brasileirão_Série_A_2026,2026,1,Internacional,Atlético PR,2026-01-28 22:00:00,0,1,1,13,1,14,3,1,0,0,7,2,12,4,19,6,13,11,71,29,,,3,1,1.8,3.35,4.5,1.36,2.15,3.74,1.91,1.8,1.51,1.76,2.6,2.0,1.45,3.28,2.56,1.37,1,0,1,0,0,0,1,622,0,0,0,17264,2,1,5,1,8,0,6,8,0,0,3,1,0,4,1,56,18,121,68,2.1,0.66,2.75,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,22,24,1,11,13,1,10,12,0,0,0,0,0.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,False,False,False,False,False,False,3.18,2.04,4.19,1.76,2.02,1.40,4.20,2.28,1.97,1.85,,,,,1.51,2.45
Brasileirão_Série_A_2026,2026,1,Coritiba,Bragantino,2026-01-28 22:00:00,0,1,1,1,5,6,1,6,1,0,2,10,6,20,8,30,9,19,29,71,Estádio Major Antônio Couto Pereira,"Rua Ubaldino do Amaral 37, Bairro Alto da Glória, Curitiba, Paraná",3,6,2.21,3.15,3.05,1.44,2.48,4.8,1.91,1.75,1.36,1.75,3.04,2.24,1.56,3.4,2.34,1.26,1,0,0,0,1,1,0,635,0,0,0,19535,2,1,0,2,1,3,2,4,2,2,0,4,4,4,1,17,69,74,127,0.78,3.08,3.86,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,10,24,1,19,9,1,15,3,0,0,0,0,0.0,1.5,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,False,False,False,False,False,False,3.00,2.76,2.89,1.60,2.25,1.52,4.95,2.59,2.12,1.74,,,,,,
Brasileirão_Série_A_2026,2026,1,Atlético Mineiro,Palmeiras,2026-01-28 22:00:00,2,2,4,5,7,12,3,2,0,0,2,6,12,7,14,13,14,20,52,48,,,3,2,3.2,3.15,2.34,1.36,2.21,4.0,1.85,1.85,1.39,1.77,2.6,2.0,1.56,3.37,2.47,1.33,4,1,1,1,1,2,2,-1,0,0,0,25770,2,1,1,2,4,5,3,9,0,0,3,2,0,5,1,38,46,97,63,1.3,1.57,2.87,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17,10,1,20,14,1,7,10,0,0,0,0,1.0,2.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,True,True,False,False,True,3.10,3.13,2.50,1.78,2.01,1.41,4.19,2.30,1.92,1.89,,,,,1.44,2.63
Brasileirão_Série_A_2026,2026,1,Vitória,Remo,2026-01-28 22:00:00,2,0,2,4,1,5,2,4,0,0,7,1,13,13,20,14,13,17,42,58,Estádio Manoel Barradas,"Rua Artêmio Castro Valente 1, Bairro Nossa Senhora da Vitória, Salvador, Bahia",2,4,1.8,3.4,4.64,1.36,2.21,3.82,2.01,1.75,1.43,1.71,2.55,2.02,1.4,2.9,2.53,1.32,2,0,0,2,0,2,0,610,0,0,0,16511,2,1,1,1,3,0,2,3,2,2,0,2,4,2,1,34,29,81,87,1.99,1.17,3.16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,19,11,1,17,13,1,9,9,0,0,0,0,1.5,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,False,False,False,False,False,3.47,1.82,4.81,,,1.41,4.11,2.27,2.09,1.76,1.34,1.46,2.74,3.33,,
Brasileirão_Série_A_2026,2026,1,Fluminense,Grêmio,2026-01-28 22:30:00,2,1,3,3,6,9,1,2,0,0,6,3,4,9,10,12,13,13,51,49,,,1,2,1.75,3.65,4.5,1.27,1.93,3.67,1.84,1.83,1.43,1.67,2.56,1.95,1.35,2.75,2.73,1.37,3,0,0,2,1,3,0,617,0,0,0,22986,2,1,1,3,2,3,4,5,1,1,0,1,2,1,1,32,33,119,93,1.3,1.21,2.51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16,18,1,13,13,1,8,6,0,0,0,0,3.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,True,False,False,False,True,3.96,1.60,5.94,1.76,2.04,1.32,3.52,2.01,2.04,1.79,1.40,1.40,3.02,2.97,1.46,2.56
Brasileirão_Série_A_2026,2026,1,Chapecoense,Santos,2026-01-28 23:00:00,4,2,6,1,14,15,3,3,0,0,4,5,4,20,8,25,10,5,34,66,Arena Condá,"Rua Clevelândia, Bairro Centro, Chapecó, Santa Catarina",3,3,2.75,3.0,2.5,1.4,2.22,4.2,1.91,1.87,1.43,1.89,2.41,2.0,1.4,2.95,2.53,1.32,6,1,1,3,1,4,2,623,0,0,0,17551,2,1,0,12,1,2,12,3,1,2,2,1,3,3,1,7,50,48,151,0.84,2.3,3.13,1,0,1,0,0,0,1,1,0,0,0,2,0,1,1,13,31,1,4,10,1,18,4,0,0,0,0,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,True,True,True,True,True,3.16,2.94,2.60,1.86,1.93,1.42,4.45,2.38,1.98,1.84,,,,,1.51,2.45
Brasileirão_Série_A_2026,2026,1,Corinthians,Bahia,2026-01-28 23:00:00,1,2,3,4,6,10,3,4,0,1,5,6,12,5,17,11,14,14,59,41,Estádio Urbano Caldeira,"Rue Princesa Isabel 77, Vila Belmiro, Santos, São Paulo",3,5,2.04,3.31,3.32,1.32,2.1,3.3,1.7,2.0,1.38,1.69,2.62,2.01,1.4,2.7,2.73,1.39,3,1,2,0,0,0,3,626,0,0,0,13577,2,1,1,4,3,2,5,5,0,1,3,4,1,7,1,9,19,100,87,1.5,1.26,2.76,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,10,32,1,14,13,1,3,9,0,0,0,0,1.5,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,True,False,False,False,True,3.35,2.27,3.30,1.70,2.09,1.26,3.14,1.87,1.64,2.29,,,,,,
Brasileirão_Série_A_2026,2026,1,São Paulo,Flamengo,2026-01-29 00:30:00,2,1,3,2,6,8,0,0,0,1,4,5,6,10,10,15,14,11,41,59,Morumbí,"Praca Roberto Gomes Pedrosa 1, Morumbi, São Paulo",0,2,3.9,3.0,2.1,1.43,2.6,5.0,2.15,1.62,1.46,1.97,2.53,1.97,1.59,3.27,2.27,1.23,3,0,0,2,1,3,0,618,0,0,0,27168,2,1,1,5,1,1,6,2,0,0,0,1,0,1,1,25,59,62,144,1.09,1.74,2.83,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,8,23,1,11,14,1,10,3,0,0,0,0,3.0,1.5,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,True,False,False,False,True,3.01,3.84,2.22,1.78,2.00,1.60,5.58,2.81,2.28,1.64,1.34,1.60,2.37,3.27,,
Brasileirão_Série_A_2026,2026,1,Mirassol,Vasco da Gama,2026-01-29 23:00:00,2,1,3,5,5,10,1,1,0,0,4,5,9,8,13,13,16,10,47,53,Estádio José Maria de Campos Maia,"Avenida Lauro Luchesi 2650, Centro, Mirassol, São Paulo",1,1,1.88,3.35,4.2,1.33,2.17,3.7,1.91,1.8,1.39,1.87,2.75,2.09,1.43,2.9,2.53,1.34,3,1,1,1,0,1,2,2721,0,0,0,5883,2,1,3,2,2,3,5,5,0,0,1,1,0,2,1,19,14,82,100,1.24,1.28,2.53,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,21,13,1,10,16,1,6,8,0,0,0,0,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,True,False,False,False,True,3.32,1.90,4.57,1.75,2.04,1.38,3.85,2.20,1.92,1.89,,,,,,
Brasileirão_Série_A_2026,2026,1,Botafogo,Cruzeiro,2026-01-30 00:30:00,4,0,4,3,7,10,1,2,0,0,5,4,5,13,10,17,10,12,46,54,Estádio Nilton Santos,"Rua Arquias Cordeiro, Engenho de Dentro, Rio de Janeiro",1,2,2.5,3.01,3.0,1.41,2.23,4.0,1.83,1.87,1.38,1.68,2.7,2.06,1.5,3.15,2.41,1.31,4,0,0,4,0,4,0,615,0,0,0,-1,2,1,2,3,1,4,5,5,1,1,0,1,2,1,1,28,46,62,103,1.18,1.69,2.87,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,10,17,1,12,10,1,6,5,0,0,0,0,3.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,True,True,False,False,False,3.03,2.45,3.29,1.78,2.01,1.43,4.24,2.36,2.00,1.83,1.33,1.50,2.63,3.40,,
